"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","selexpert.anje-justice.fr/91.208.207.214","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFATCCA+mgAwIBAgISA5HKaOkQExOsXtSe6vlv6jp2MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQwODE2MDEzNjE0WhcNMjQxMTE0MDEzNjEzWjAkMSIwIAYDVQQDExlzZWxleHBlcnQuYW5qZS1qdXN0aWNlLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApAHhbTjjolhWddjwz9dLwboMiQ4TmWcBuf9mVaT3QLfUarimNbyaRUTYvv5/Enl7F6ZlbaoB5LjV07LSR/2mmZ2p+ORV73J0Yt6mYeEgHeibUhZ2IT+LjsJErHqrzyY+xtGbCq5j/q7Oz2/kCOepN5GQgsXzbIgsm9SjVgmXTPhIoqpQzYE6CVHhsMkjCzls2gzxMaLX7OaJ2VsR9Vm4tFpIsOa78X60cTRwrR8VR0nzKGlWVqTq6M2ProTizMdFMO9mJW+Lm3mXhK3Bj41r07JexbFg6wRajvVyK6O5t5c4Q314BO53l7dwKVo7Xo1ug8mz1QoQj3hhM7zLpGK0bQIDAQABo4ICHDCCAhgwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQgcLebga4N5xr7YQ0+WYvpAZX6TDAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTAuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMCQGA1UdEQQdMBuCGXNlbGV4cGVydC5hbmplLWp1c3RpY2UuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgBIsONr2qZHNA/lagL6nTDrHFIBy1bdLIHZu7+rOdiEcwAAAZFZCY8iAAAEAwBHMEUCIQDRJ7n1AEhADlSynNzpbah/pCDxmmAOTWM8VTIT1bOQnAIgVueyrahbGY77IFiaLJKMEY+iPeQ97+vFEpWW//5ltlcAdQDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAZFZCY89AAAEAwBGMEQCHwYV1hFC843l1w7153itY5uhb8eXklPV5U48t/vUY5ECIQCydLRMoJBl78DV9Z3ZXu7bqiCsIqKnSj25w6xdsPZDAzANBgkqhkiG9w0BAQsFAAOCAQEAnxjEWTyTSvphVgeADNjN86a0rRrMG05My6uhTaISrVUmBx0FVUWDsrOP222XCeATu3UpH5pn61+iQ1oHj6/hA5MJeeiTAL5ub3F3AIFQsyQ9prBfg0E6QDcWosY6bBIJUVb2Bnq5k5pX5bUnxqGPVwLLo07yacuxbWqgt0Cet/mELjL6GoDvKBs48018v5aYVXXtF9HRgSfxrai0twyJdq7Ss7JdQ5RnB4xE2+OulUbzR6HPKuv/bd1QZh7S5pBkmK3mdOG8Y0BXaVaMdTBI4Rm23hPJO1zHlzTaC9pDpJaSnmEfJOxwSf/cCabbvUXc9FdPl1ZzspyNrtSKb5IMsg==\n-----END CERTIFICATE-----","",""
"cert_commonName","selexpert.anje-justice.fr/91.208.207.214","443","OK","selexpert.anje-justice.fr","",""
"cert_commonName_wo_SNI","selexpert.anje-justice.fr/91.208.207.214","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","selexpert.anje-justice.fr/91.208.207.214","443","INFO","selexpert.anje-justice.fr","",""
"cert_trust","selexpert.anje-justice.fr/91.208.207.214","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","selexpert.anje-justice.fr/91.208.207.214","443","OK","passed.","",""
"cert_certificatePolicies_EV","selexpert.anje-justice.fr/91.208.207.214","443","INFO","no","",""
"cert_expirationStatus","selexpert.anje-justice.fr/91.208.207.214","443","OK","45 >= 30 days","",""
"cert_notBefore","selexpert.anje-justice.fr/91.208.207.214","443","INFO","2024-08-16 01:36","",""
"cert_notAfter","selexpert.anje-justice.fr/91.208.207.214","443","OK","2024-11-14 01:36","",""
